Spectral Response Function Corners, trapezoid
Temperature: Celsius; Spectral Radiance: mW/[m^2 sr micrometer]; Wavelength: micrometer
lambda1:Response 1.0; lambda2:Response 1.0; lambda2:Response 0.0
lambda1: 8.00, lambda2:14.80, lambda3:19.80
TC,L
-10.000, 4568.700
-9.900, 4578.560
-9.800, 4588.440
-9.700, 4598.330
-9.600, 4608.240
-9.500, 4618.160
-9.400, 4628.090
-9.300, 4638.040
-9.200, 4648.010
-9.100, 4657.990
-9.000, 4667.980
-8.900, 4677.990
-8.800, 4688.010
-8.700, 4698.050
-8.600, 4708.100
-8.500, 4718.170
-8.400, 4728.250
-8.300, 4738.340
-8.200, 4748.450
-8.100, 4758.570
-8.000, 4768.710
-7.900, 4778.870
-7.800, 4789.030
-7.700, 4799.220
-7.600, 4809.410
-7.500, 4819.620
-7.400, 4829.850
-7.300, 4840.090
-7.200, 4850.350
-7.100, 4860.620
-7.000, 4870.900
-6.900, 4881.200
-6.800, 4891.510
-6.700, 4901.840
-6.600, 4912.180
-6.500, 4922.540
-6.400, 4932.910
-6.300, 4943.300
-6.200, 4953.700
-6.100, 4964.120
-6.000, 4974.550
-5.900, 4985.000
-5.800, 4995.460
-5.700, 5005.930
-5.600, 5016.420
-5.500, 5026.930
-5.400, 5037.450
-5.300, 5047.980
-5.200, 5058.530
-5.100, 5069.090
-5.000, 5079.670
-4.900, 5090.260
-4.800, 5100.870
-4.700, 5111.500
-4.600, 5122.130
-4.500, 5132.790
-4.400, 5143.450
-4.300, 5154.140
-4.200, 5164.830
-4.100, 5175.540
-4.000, 5186.270
-3.900, 5197.010
-3.800, 5207.770
-3.700, 5218.540
-3.600, 5229.330
-3.500, 5240.130
-3.400, 5250.950
-3.300, 5261.780
-3.200, 5272.620
-3.100, 5283.480
-3.000, 5294.360
-2.900, 5305.250
-2.800, 5316.160
-2.700, 5327.080
-2.600, 5338.010
-2.500, 5348.960
-2.400, 5359.930
-2.300, 5370.910
-2.200, 5381.910
-2.100, 5392.920
-2.000, 5403.940
-1.900, 5414.980
-1.800, 5426.040
-1.700, 5437.110
-1.600, 5448.200
-1.500, 5459.300
-1.400, 5470.410
-1.300, 5481.550
-1.200, 5492.690
-1.100, 5503.850
-1.000, 5515.030
-0.900, 5526.220
-0.800, 5537.430
-0.700, 5548.650
-0.600, 5559.890
-0.500, 5571.140
-0.400, 5582.410
-0.300, 5593.690
-0.200, 5604.990
-0.100, 5616.300
 0.000, 5627.630
 0.100, 5638.970
 0.200, 5650.330
 0.300, 5661.710
 0.400, 5673.090
 0.500, 5684.500
 0.600, 5695.920
 0.700, 5707.350
 0.800, 5718.800
 0.900, 5730.270
 1.000, 5741.750
